time,cdp409,cdp410,cdp412,cdp413
0,0,0,0,0
0.004,0,0,0,0
0.008,0,0,0,0
0.012,0,0,0,0
0.016,0,0,0,0
0.02,0,0,0,0
0.024,0,0,0,0
0.028,0,0,0,0
0.032,0,0,0,0
0.036,0,0,0,0
0.04,0,0,0,0
0.044,0,0,0,0
0.048,0,0,0,0
0.052,0,0,0,0
0.056,0,0,0,0
0.06,0,0,0,0
0.064,0,0,0,0
0.068,0,0,0,0
0.072,0,0,0,0
0.076,0,0,0,0
0.08,0,0,0,0
0.084,0,0,0,0
0.088,0,-1377,0,0
0.092,0,-1858,0,0
0.096,0,-1827,0,0
0.1,0,-1791,0,0
0.104,0,-2133,-1332,0
0.108,0,-2550,-2100,0
0.112,0,-486,-2116,0
0.116,0,-2530,-234,0
0.12,0,-932,2209,0
0.124,0,2003,964,0
0.128,0,2397,2384,0
0.132,0,2332,872,0
0.136,0,2381,2577,0
0.14,0,609,2151,0
0.144,0,5282,88,0
0.148,1314,5887,-2472,0
0.152,2460,1134,-6230,0
0.156,2727,2116,-10903,-237
0.16,1637,511,-11104,-12778
0.164,-2097,-1019,-8501,-15297
0.168,-2126,-2230,-2030,-11635
0.172,1726,-2309,-133,-2262
0.176,414,-7875,4360,2653
0.18,1885,-8973,12220,8032
0.184,-1584,-6138,8679,7256
0.188,-13825,-2573,2273,3129
0.192,-15789,-707,-1071,663
0.196,-12779,-2711,-1668,2368
0.2,-2999,-1815,-1493,1
0.204,160,2701,-783,-1767
0.208,6304,13858,2175,1323
0.212,15834,16043,8517,5206
0.216,17825,6646,12999,11562
0.22,12669,-1016,3464,3537
0.224,2129,-2744,-2594,-1985
0.228,-2561,-2296,-15377,-13006
0.232,-2511,207,-18355,-19177
0.236,2059,371,-12535,-18049
0.24,8561,11814,-154,-8182
0.244,8692,13445,12792,1620
0.248,1564,2775,18546,8439
0.252,-8414,-6042,11550,6755
0.256,-17464,-19400,-2716,9
0.26,-16768,-20742,-21070,-7782
0.264,-6883,-13901,-23214,-10465
0.268,-651,-2415,-11709,-1702
0.272,1839,2316,3428,10000
0.276,50,1752,19298,18167
0.28,-1852,2423,18442,16544
0.284,-807,69,8576,5046
0.288,2425,-88,1665,-870
0.292,7746,2447,-1457,-2570
0.296,12454,9273,-1355,-1850
0.3,12072,13235,512,2062
0.304,6118,11278,1770,2655
0.308,2317,2723,123,1194
0.312,-1299,-2084,-2635,-5254
0.316,-2519,-11301,-15499,-18168
0.32,-13508,-17532,-18869,-22161
0.324,-19314,-17848,-13006,-16639
0.328,-19821,-9454,-594,-2351
0.332,-11567,2001,11543,9846
0.336,2413,14277,18821,20959
0.34,19288,18328,20041,22976
0.344,23188,13296,14739,16534
0.348,15661,2277,2157,1476
0.352,1035,-2560,-9757,-13321
0.356,-9250,-5727,-17717,-19338
0.36,-14100,-7306,-14571,-14269
0.364,-11728,-6811,-2615,-2222
0.368,-2549,-1989,2416,2049
0.372,2744,-381,5900,11532
0.376,14395,1439,5706,10726
0.38,17268,6714,2679,1471
0.384,12235,2198,408,269
0.388,2094,2267,-2015,-2222
0.392,-2696,1616,-1826,-2202
0.396,-7145,-91,550,-706
0.4,-10086,-2372,1615,-128
0.404,-11837,-5015,-1538,-2526
0.408,-12435,-7917,-4272,-10232
0.412,-9949,-2539,-8960,-11814
0.416,-2717,-1416,-2744,-2748
0.42,1482,2290,1731,2174
0.424,2763,1233,2700,3004
0.428,8427,2424,2201,2481
0.432,11975,4233,2180,6629
0.436,14155,8010,7929,15193
0.44,12939,6782,15270,17260
0.444,2587,1502,6885,40
0.448,-5039,-10078,-5991,-15822
0.452,-17473,-19106,-22379,-26001
0.456,-16117,-16617,-20588,-22897
0.46,-2585,-2528,-1453,-2223
0.464,5190,6634,4847,13289
0.468,14037,16311,14996,16654
0.472,9460,15469,15818,11924
0.476,152,3957,12797,3443
0.48,-10522,-2608,2534,1866
0.484,-18306,-17192,-9243,-4715
0.488,-18195,-22552,-23820,-20899
0.492,-5126,-16579,-25185,-23152
0.496,7778,819,-11148,-5533
0.5,23885,20676,15930,18044
0.504,25723,26402,27717,28497
0.508,17100,22773,25750,25951
0.512,-2068,2308,9645,7780
0.516,-18096,-15520,-7723,-10613
0.52,-22331,-23189,-21431,-22276
0.524,-16539,-20004,-22582,-22524
0.528,-2400,-1435,-12527,-12588
0.532,9747,11152,2145,2378
0.536,19496,22675,22098,15952
0.54,16168,20573,20005,13410
0.544,1204,2241,664,-1653
0.548,-15424,-17007,-19490,-16562
0.552,-22619,-24662,-23268,-18399
0.556,-19327,-22489,-13036,-5016
0.56,-9536,-9665,1542,2333
0.564,-1315,1613,6914,6222
0.568,4857,11247,6856,4280
0.572,19102,18762,5085,3505
0.576,25268,22806,8667,9354
0.58,24966,21184,11492,12199
0.584,13521,9455,4437,3728
0.588,-4877,-121,-1733,-2385
0.592,-23187,-18651,-12245,-14464
0.596,-23825,-21503,-14626,-14963
0.6,-12974,-12449,-1310,-2304
0.604,2183,2051,3396,11044
0.608,12738,14026,15275,17586
0.612,12161,14461,11122,10840
0.616,2584,2620,-1859,-2279
0.62,-2343,-3418,-15228,-16149
0.624,-8445,-14669,-19033,-19880
0.628,-12240,-14732,-12890,-14483
0.632,-11587,-8228,-2124,-2605
0.636,-3905,-2088,2464,2269
0.64,730,2493,3719,5696
0.644,11291,11236,7074,10183
0.648,18187,15158,9526,9635
0.652,15232,12231,5079,256
0.656,2025,1572,150,-2192
0.66,-10787,-9325,-6300,-9208
0.664,-15237,-14559,-9353,-3967
0.668,-3414,-4019,-1478,2469
0.672,991,2671,8580,15190
0.676,14970,14223,13879,15173
0.68,14912,14863,5087,2667
0.684,4655,6363,-1083,-2770
0.688,-1492,29,-1922,-7887
0.692,-8081,-2513,-2660,-4587
0.696,-13328,-10929,-2768,-2752
0.7,-11670,-11307,-2653,-2561
0.704,-1024,-3972,-2614,-2485
